Index,PositionType,PositionStatus,CareerTrack,Nationality,EducationLevel,Branch,PositionLevel,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Workload1,Workload2,Workload3,Workload4,PerformerCategory
9301,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9302,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9303,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9304,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9305,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9306,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9307,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9310,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9311,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9313,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9315,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9316,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9317,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9318,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
9319,TypeB,StatusD,TrackA,local,No Data,BranchL,LevelD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LowPerformer
